"customer_name","city_name","average_spending"
"Krishna Joshi","Ahmedabad","642.8571428571429"
"Vihaan Sharma","Lucknow","642.8571428571429"
"Vivaan Malhotra","Indore","641.6666666666666"
"Riya Kapoor","Kanpur","641.6666666666666"
"Navya Chopra","Delhi","640"
"Aarav Singh","Chennai","639.7142857142857"
"Vivaan Pandey","Jaipur","638.5"
"Gaurav N","Kanpur","638.4615384615385"
"Rudra Kapoor","Kolkata","638.4615384615385"
"Aditya Malhotra","Bangalore","638.125"
"Mira Rao","Surat","638"
"Saanvi Sinha","Nagpur","637.5"
"Mira Patel","Surat","637.5"
"Kiara Malhotra","Lucknow","637.5"
"Shaurya Sinha","Indore","636.6666666666666"
"Diya Sinha","Bangalore","636.1290322580645"
"Aditi Rao","Chennai","636"
"Rudra Kumar","Hyderabad","635.5555555555555"
"Aditi Patel","Chennai","635.3333333333334"
"Rudra Singh","Mumbai","634.5"
"Aryan Gupta","Delhi","634.5"
"Isha Verma","Delhi","634.4444444444445"
"Navya Sharma","Indore","631.6666666666666"
"Kiara Mishra","Hyderabad","630.8333333333334"
"Mira Agarwal","Pune","630.6060606060606"
"Riya Mehta","Nagpur","630"
"Shaurya Malhotra","Delhi","629.6296296296297"
"Aarav Patel","Pune","629.2857142857143"
"Mira Chopra","Hyderabad","628.3333333333334"
"Arjun Patel","Pune","628"
"Navya Reddy","Surat","627.5"
"Mira Singh","Kanpur","626.4285714285714"
"Shaurya Singh","Mumbai","625.7142857142857"
"Vihaan Reddy","Jaipur","625.1724137931035"
"Ananya Singh","Kanpur","625"
"Ishita Patel","Kanpur","625"
"Aditi Reddy","Bangalore","624.75"
"Ananya Malhotra","Bangalore","624.4"
"Vivaan Desai","Pune","623.7777777777778"
"Kiara Agarwal","Pune","622.6923076923077"
"Aarav Nair","Chennai","621.5151515151515"
"Dhruv Joshi","Kolkata","620.7692307692307"
"Navya Mehta","Delhi","620.5555555555555"
"Ananya Joshi","Delhi","620.4166666666666"
"Riya Mishra","Nagpur","619.2857142857143"
"Isha Desai","Chennai","618.4444444444445"
"Priya Chaudhary","Indore","618.125"
"Kiara Pandey","Delhi","617.7777777777778"
"Aarav Rao","Chennai","617.3809523809524"
"Aryan Sharma","Bangalore","616.3414634146342"
"Arjun Chopra","Delhi","616.0714285714286"
"Shaurya Nair","Nagpur","615.7142857142857"
"Aarav Chopra","Chennai","615.3333333333334"
"Aditya Singh","Bangalore","615.1219512195122"
"Arjun Sinha","Chennai","615.1219512195122"
"Mira Kapoor","Ahmedabad","614.2857142857143"
"Mira Pandey","Ahmedabad","614"
"Aditya Desai","Pune","613.8461538461538"
"Saanvi Kumar","Jaipur","613.125"
"Saanvi Shukla","Surat","612.5"
"Saanvi Patel","Ahmedabad","612"
"Riya Patel","Kanpur","611.5384615384615"
"Aditya Gupta","Bangalore","611.2820512820513"
"Aarav Desai","Delhi","610"
"Saanvi Singh","Indore","609.3333333333334"
"Diya Malhotra","Pune","609.0625"
"Nikhil Jain","Delhi","608.5714285714286"
"Krishna Kumar","Indore","607.7777777777778"
"Mira Malhotra","Surat","607.5"
"Vihaan Pandey","Surat","607.1428571428571"
"Vihaan Kapoor","Hyderabad","607.1428571428571"
"Aarav Mehta","Delhi","607"
"Abhay Singh","Pune","606.0377358490566"
"Dhruv Nair","Chennai","605.6756756756756"
"Arjun Agarwal","Bangalore","605.5882352941177"
"Saanvi Chopra","Jaipur","605"
"Aarav Mishra","Chennai","605"
"Dhruv Malhotra","Bangalore","604.75"
"Isha Patel","Jaipur","604.6153846153846"
"Aditya Verma","Pune","604.5714285714286"
"Krishna Desai","Ahmedabad","604.5454545454545"
"Riya Sinha","Ahmedabad","603.0769230769231"
"Saanvi Reddy","Delhi","603"
"Aryan Desai","Bangalore","602.9411764705883"
"Ishita Agarwal","Bangalore","602.6315789473684"
"Aditi Kumar","Delhi","601.7391304347826"
"Veer Kapoor","Pune","601.71875"
"Rudra Mehta","Delhi","601.3793103448276"
"Ananya Shukla","Chennai","600.5714285714286"
"Navya Desai","Lucknow","600"
"Ishita Joshi","Surat","600"
"Aarav Sharma","Chennai","599.3548387096774"
"Aditi Shukla","Chennai","598.9285714285714"
"Ishita Nair","Kolkata","598.3333333333334"
"Saanvi Joshi","Jaipur","598.2352941176471"
"Aarav Malhotra","Pune","597.8787878787879"
"Aditi Nair","Chennai","597.7142857142857"
"Rudra Joshi","Delhi","596.8421052631579"
"Isha Sharma","Chennai","596.25"
"Kiara Singh","Hyderabad","596.25"
"Dhruv Patel","Pune","596.2222222222222"
"Krishna Mishra","Delhi","595.8333333333334"
"Krishna Kumar","Pune","595.0943396226415"
"Ishita Shukla","Kolkata","595"
"Ananya Mehta","Bangalore","595"
"Riya Kumar","Pune","595"
"Vivaan Reddy","Kolkata","594.2857142857143"
"Ishita Mishra","Jaipur","592.8571428571429"
"Dhruv Sharma","Delhi","592.3529411764706"
"Riya Desai","Delhi","592.1052631578947"
"Ananya Gupta","Bangalore","591"
"Vivaan Rao","Delhi","590.5263157894736"
"Mira Gupta","Jaipur","590.4255319148937"
"Krishna Rao","Surat","590"
"Rudra Patel","Kanpur","590"
"Mira Desai","Kanpur","590"
"Tanvi Pillai","Jaipur","590"
"Isha Gupta","Jaipur","589.4117647058823"
"Kiara Rao","Kolkata","589"
"Diya Patel","Jaipur","587.8947368421053"
"Riya Gupta","Ahmedabad","587.6923076923077"
"Aditi Gupta","Pune","587.3076923076923"
"Kiara Sinha","Kanpur","587"
"Shaurya Verma","Lucknow","586.3636363636364"
"Aditi Pandey","Jaipur","585.7692307692307"
"Aryan Kapoor","Jaipur","585"
"Shaurya Mishra","Ahmedabad","584.4444444444445"
"Mira Kumar","Pune","584.3243243243244"
"Aryan Joshi","Jaipur","583.8888888888889"
"Anushka Verma","Indore","583.6363636363636"
"Arjun Singh","Bangalore","583.5714285714286"
"Krishna Chopra","Kolkata","583.3333333333334"
"Arjun Mishra","Chennai","583.1481481481482"
"Vidya Mishra","Ahmedabad","581.25"
"Ishita Reddy","Pune","581"
"Ishita Kumar","Jaipur","580.4347826086956"
"Vihaan Nair","Ahmedabad","580"
"Arjun Verma","Jaipur","579.5454545454545"
"Dhruv Gupta","Delhi","579.1666666666666"
"Aditi Kapoor","Chennai","578.75"
"Krishna Sinha","Delhi","578.5714285714286"
"Vihaan Patel","Mumbai","578.125"
"Vihaan Rao","Kanpur","577.7777777777778"
"Mira Shukla","Nagpur","577.5"
"Dhruv Agarwal","Bangalore","576.4285714285714"
"Arjun Joshi","Pune","575.2380952380952"
"Riya Joshi","Hyderabad","575"
"Isha Kapoor","Chennai","574.7826086956521"
"Diya Gupta","Delhi","574.5"
"Ishita Gupta","Jaipur","572.5"
"Saanvi Nair","Delhi","572.5"
"Riya Singh","Pune","571.9444444444445"
"Krishna Shukla","Surat","571.7647058823529"
"Aditya Kumar","Jaipur","571.3333333333334"
"Kiara Verma","Hyderabad","570.7142857142857"
"Aditya Reddy","Chennai","569.6875"
"Krishna Pandey","Indore","569.2307692307693"
"Mira Nair","Jaipur","568.75"
"Krishna Pandey","Kolkata","568.75"
"Saanvi Sharma","Mumbai","568.0769230769231"
"Rudra Sharma","Pune","566.8888888888889"
"Ishita Chopra","Lucknow","566.6666666666666"
"Ananya Kumar","Bangalore","566.2790697674419"
"Krishna Agarwal","Jaipur","566.25"
"Diya Rao","Chennai","566"
"Meera Shah","Pune","564"
"Diya Kapoor","Bangalore","563.939393939394"
"Krishna Reddy","Surat","563.5"
"Aarav Pandey","Bangalore","562.8125"
"Saanvi Verma","Ahmedabad","562.5"
"Aditi Sharma","Delhi","562.1428571428571"
"Aarav Shukla","Delhi","561.6666666666666"
"Diya Verma","Jaipur","561.578947368421"
"Dhruv Sinha","Pune","561.4705882352941"
"Aryan Reddy","Nagpur","561.1764705882352"
"Aarav Gupta","Delhi","560"
"Riya Pandey","Kolkata","560"
"Mira Mishra","Indore","560"
"Diya Joshi","Bangalore","559.75"
"Uday Reddy","Jaipur","559.3333333333334"
"Trisha Sharma","Surat","559.2307692307693"
"Diya Sharma","Jaipur","558.9473684210526"
"Aditya Mishra","Jaipur","558.75"
"Dhruv Verma","Bangalore","558.6538461538462"
"Ananya Agarwal","Delhi","558.5"
"Saanvi Desai","Hyderabad","558"
"Rudra Nair","Pune","557.7083333333334"
"Navya Gupta","Kanpur","557.1428571428571"
"Aditya Chopra","Delhi","557"
"Rudra Sinha","Lucknow","556.4285714285714"
"Vihaan Singh","Nagpur","556.3636363636364"
"Krishna Mishra","Jaipur","556.25"
"Aditi Verma","Bangalore","555.9459459459459"
"Isha Singh","Pune","555.6666666666666"
"Shaurya Chopra","Mumbai","555.625"
"Krishna Sharma","Pune","555.4054054054054"
"Mira Agarwal","Mumbai","555"
"Aditi Gupta","Bangalore","554"
"Kiara Verma","Kolkata","554"
"Navya Mishra","Kanpur","553.3333333333334"
"Aarav Sinha","Pune","553.1428571428571"
"Aryan Verma","Delhi","552.5"
"Rudra Desai","Kanpur","552"
"Dhruv Mehta","Bangalore","551.7142857142857"
"Kiara Mehta","Nagpur","551.25"
"Dhruv Shukla","Pune","551.1627906976744"
"Arjun Shukla","Pune","550.5405405405405"
"Vivaan Joshi","Nagpur","550"
"Vivaan Agarwal","Surat","550"
"Aryan Shukla","Pune","549.7058823529412"
"Ishaan Kumar","Delhi","549.5652173913044"
"Ananya Pandey","Chennai","548.974358974359"
"Arjun Rao","Bangalore","548.5714285714286"
"Dhruv Pandey","Jaipur","547.1428571428571"
"Aryan Nair","Chennai","547.1052631578947"
"Ananya Reddy","Chennai","547"
"Vihaan Verma","Pune","546.8888888888889"
"Aditi Joshi","Bangalore","545.925925925926"
"Krishna Gupta","Indore","545.7142857142857"
"Kiara Desai","Delhi","545"
"Aryan Singh","Bangalore","544.8571428571429"
"Mira Reddy","Mumbai","544.8387096774194"
"Isha Pandey","Chennai","544.2307692307693"
"Mira Joshi","Delhi","543.8888888888889"
"Riya Kapoor","Kolkata","543.8461538461538"
"Aditya Nair","Delhi","543.75"
"Aditya Sinha","Delhi","543.1578947368421"
"Isha Reddy","Jaipur","542.3076923076923"
"Mira Patel","Pune","541.9512195121952"
"Aarav Agarwal","Bangalore","541.875"
"Ananya Sharma","Chennai","541.7142857142857"
"Rudra Rao","Pune","541.1111111111111"
"Lakshmi Desai","Kanpur","541.1111111111111"
"Aryan Malhotra","Bangalore","540.6666666666666"
"Aarav Reddy","Jaipur","540"
"Aditya Kapoor","Jaipur","540"
"Vivaan Patel","Mumbai","538.4615384615385"
"Shaurya Gupta","Delhi","537.8947368421053"
"Vivaan Sinha","Pune","537.6086956521739"
"Mira Rao","Kanpur","537.5"
"Aarav Joshi","Jaipur","537.3684210526316"
"Aditya Shukla","Chennai","537.2222222222222"
"Krishna Nair","Nagpur","535.8333333333334"
"Dhruv Kumar","Bangalore","535.5813953488372"
"Mira Kumar","Jaipur","535.2631578947369"
"Diya Singh","Delhi","534.2105263157895"
"Mira Mehta","Mumbai","533.9285714285714"
"Saanvi Malik","Nagpur","533.8461538461538"
"Vivaan Mehta","Kolkata","533.3333333333334"
"Aarohi Sen","Hyderabad","533.3333333333334"
"Isha Joshi","Pune","533"
"Ayush Kumar","Delhi","532.5"
"Navya Pandey","Hyderabad","532.5"
"Ishita Verma","Kanpur","532.2222222222222"
"Kiara Kapoor","Ahmedabad","532"
"Krishna Chopra","Delhi","531.8181818181819"
"Krishna Singh","Surat","530.9090909090909"
"Diya Mehta","Jaipur","530.7142857142857"
"Ananya Mishra","Delhi","530.4545454545455"
"Aditi Chopra","Delhi","530"
"Arjun Reddy","Bangalore","530"
"Navya Mehta","Nagpur","530"
"Diya Verma","Kanpur","529.3333333333334"
"Arjun Pandey","Bangalore","529.3103448275862"
"Rudra Chopra","Kolkata","529.0909090909091"
"Riya Verma","Delhi","528.8888888888889"
"Diya Reddy","Bangalore","528.6486486486486"
"Krishna Shukla","Indore","528"
"Krishna Verma","Kanpur","527.7777777777778"
"Mira Desai","Mumbai","527.2727272727273"
"Mira Sinha","Surat","526.9230769230769"
"Diya Agarwal","Chennai","526.8181818181819"
"Aarav Kapoor","Chennai","526.0526315789474"
"Aryan Kumar","Chennai","526"
"Vihaan Shukla","Mumbai","525.7142857142857"
"Mira Mishra","Mumbai","525.3846153846154"
"Kiara Chopra","Kanpur","524.4444444444445"
"Aditi Agarwal","Delhi","523.6363636363636"
"Navya Mishra","Delhi","523.125"
"Kiara Sharma","Mumbai","522.3809523809524"
"Diya Nair","Jaipur","522.0833333333334"
"Aryan Reddy","Chennai","521.8421052631579"
"Dhruv Kapoor","Jaipur","521.7647058823529"
"Dhruv Reddy","Delhi","521.7391304347826"
"Aryan Sinha","Pune","521.6279069767442"
"Isha Malhotra","Chennai","521.3793103448276"
"Krishna Patel","Kolkata","520"
"Dhruv Chopra","Jaipur","518.2352941176471"
"Ananya Rao","Pune","517.7142857142857"
"Vivaan Kapoor","Delhi","517.2727272727273"
"Mira Pandey","Kanpur","516.9230769230769"
"Navya Kumar","Hyderabad","516.6666666666666"
"Shaurya Kumar","Lucknow","516.6666666666666"
"Aditi Mishra","Pune","515.9375"
"Aditya Sharma","Bangalore","515.625"
"Krishna Kapoor","Ahmedabad","515"
"Madhav Sinha","Mumbai","514.2105263157895"
"Arjun Gupta","Jaipur","513.8636363636364"
"Rudra Malhotra","Jaipur","513.8095238095239"
"Vivaan Gupta","Mumbai","513.5714285714286"
"Shaurya Agarwal","Lucknow","513.0769230769231"
"Ishita Sharma","Mumbai","512.2222222222222"
"Riya Rao","Jaipur","512.0833333333334"
"Navya Joshi","Kanpur","512"
"Navya Joshi","Surat","511.42857142857144"
"Arjun Sharma","Pune","510.9375"
"Aditi Rao","Kolkata","510"
"Ishita Malhotra","Jaipur","508.5"
"Vihaan Desai","Indore","508.1818181818182"
"Krishna Verma","Nagpur","507.6923076923077"
"Isha Nair","Mumbai","505.88235294117646"
"Rudra Reddy","Jaipur","504.2105263157895"
"Krishna Mehta","Delhi","503.6842105263158"
"Diya Pandey","Pune","503.42105263157896"
"Navya Agarwal","Ahmedabad","502.22222222222223"
"Krishna Gupta","Kolkata","502.22222222222223"
"Mira Sharma","Kolkata","501.3333333333333"
"Advait Mehta","Ahmedabad","494.44444444444446"
"Ananya Patel","Delhi","491.9047619047619"
"Vihaan Malhotra","Lucknow","491.6666666666667"
"Krishna Rao","Kanpur","490"
"Navya Sinha","Ahmedabad","489.1666666666667"
"Kiara Malhotra","Delhi","488.125"
"Mira Verma","Kanpur","487.5"
"Aditi Desai","Jaipur","487.27272727272725"
"Aashish Patil","Mumbai","486.6666666666667"
"Diya Kumar","Jaipur","485"
"Navya Malhotra","Delhi","484.70588235294116"
"Ananya Singh","Chennai","484.5"
"Rudra Pandey","Surat","483.75"
"Navya Kumar","Surat","482.6666666666667"
"Aryan Mishra","Chennai","482.2916666666667"
"Diya Mishra","Pune","479.7368421052632"
"Ishita Kapoor","Pune","478.2926829268293"
"Shaurya Pandey","Jaipur","478.1818181818182"
"Ananya Sinha","Delhi","475.17241379310343"
"Vihaan Mishra","Surat","474"
"Saanvi Mishra","Surat","473.3333333333333"
"Dhruv Joshi","Jaipur","473.1578947368421"
"Aditi Mehta","Jaipur","472.17391304347825"
"Diya Shukla","Chennai","471.8181818181818"
"Mira Singh","Nagpur","470.5263157894737"
"Krishna Mehta","Nagpur","468.3333333333333"
"Navya Malhotra","Nagpur","465.8333333333333"
"Riya Reddy","Hyderabad","465.38461538461536"
"Navya Patel","Lucknow","464.54545454545456"
"Varun Gupta","Lucknow","462.22222222222223"
"Aditya Pandey","Jaipur","460.4761904761905"
"Krishna Desai","Delhi","456.9230769230769"
"Tarun Joshi","Delhi","456.6666666666667"
"Isha Kumar","Jaipur","451.6"
"Mira Joshi","Mumbai","450"
"Shaurya Mehta","Surat","450"
"Vihaan Gupta","Nagpur","450"
"Krishna Kapoor","Mumbai","448.8888888888889"
"Shreya Bhatia","Kanpur","440"
"Navya Shukla","Surat","440"
"Gauri Sharma","Mumbai","439.1666666666667"
"Aryan Pandey","Delhi","437.6470588235294"
"Kiara Kumar","Indore","432.5"
"Aditya Mehta","Jaipur","432.5"
"Aryan Rao","Delhi","430.5882352941176"
"Raghav Rao","Lucknow","427.5"
"Krishna Sharma","Indore","427"
"Navya Kapoor","Delhi","424.375"
"Mira Kapoor","Kolkata","418.75"
"Mira Sinha","Nagpur","417.14285714285717"
"Navya Agarwal","Delhi","417"
"Ananya Verma","Delhi","416.875"
"Vivaan Verma","Mumbai","406.25"
"Ishita Desai","Kanpur","397.5"
"Rudra Verma","Hyderabad","396.42857142857144"
"Anika Joshi","Lucknow","387.5"
"Kiara Joshi","Nagpur","383.3333333333333"
"Ishita Mehta","Indore","379.09090909090907"
"Rudra Mishra","Kanpur","366.6666666666667"
"Krishna Sinha","Lucknow","358.1818181818182"
"Saanvi Agarwal","Lucknow","357"
"Ishita Pandey","Hyderabad","352.85714285714283"
"Ishita Rao","Kanpur","350"
"Saanvi Malhotra","Kanpur","327"
