customer_name,artist_name,total_bill
Michelle                                           Brooks                                            ,Guns N' Roses,15.84
Astrid                                             Gruber                                            ,Miles Davis,14.85
Martha                                             Silk                                              ,Guns N' Roses,14.85
Dominique                                          Lefebvre                                          ,Pearl Jam,14.85
Eduardo                                            Martins                                           ,Metallica,14.85
Mark                                               Taylor                                            ,Aerosmith,14.85
Luis                                               Rojas                                             ,Red Hot Chili Peppers,14.85
Phil                                               Hughes                                            ,Motörhead,14.85
Jennifer                                           Peterson                                          ,Aerosmith,14.85
Diego                                              Gutiérrez                                         ,Green Day,13.86
Michelle                                           Brooks                                            ,Os Mutantes,13.86
Helena                                             Holý                                              ,Van Halen,13.86
Enrique                                            Muñoz                                             ,Miles Davis,13.86
Frank                                              Ralston                                           ,Chris Cornell,13.86
Hannah                                             Schneider                                         ,Miles Davis,13.86
Luís                                               Gonçalves                                         ,Rush,13.86
Heather                                            Leacock                                           ,Green Day,13.86
Fernanda                                           Ramos                                             ,Antônio Carlos Jobim,13.86
Terhi                                              Hämäläinen                                        ,The Police,13.86
Leonie                                             Köhler                                            ,Audioslave,13.86
Phil                                               Hughes                                            ,The Police,13.86
Joakim                                             Johansson                                         ,Guns N' Roses,13.86
Aaron                                              Mitchell                                          ,Chris Cornell,13.86
Alexandre                                          Rocha                                             ,Pearl Jam,13.86
Kathy                                              Chase                                             ,Van Halen,12.87
Fynn                                               Zimmermann                                        ,U2,12.87
João                                               Fernandes                                         ,Alanis Morissette,12.87
Astrid                                             Gruber                                            ,Nirvana,12.87
R                                                  Madhav                                            ,R.E.M.,12.87
Edward                                             Francis                                           ,Alanis Morissette,12.87
Manoj                                              Pareek                                            ,JET,12.87
Phil                                               Hughes                                            ,JET,12.87
Emma                                               Jones                                             ,Alanis Morissette,12.87
Alexandre                                          Rocha                                             ,JET,12.87
Dominique                                          Lefebvre                                          ,Foo Fighters,12.87
Ellie                                              Sullivan                                          ,Pearl Jam,12.87
Johannes                                           Van der Berg                                      ,Amy Winehouse,12.87
Luís                                               Gonçalves                                         ,JET,12.87
Heather                                            Leacock                                           ,Amy Winehouse,11.88
R                                                  Madhav                                            ,Jota Quest,11.88
Puja                                               Srivastava                                        ,The Cult,11.88
João                                               Fernandes                                         ,Godsmack,11.88
Dominique                                          Lefebvre                                          ,Scorpions,11.88
Bjørn                                              Hansen                                            ,Guns N' Roses,11.88
Richard                                            Cunningham                                        ,Scorpions,11.88
Frank                                              Harris                                            ,Godsmack,11.88
Fynn                                               Zimmermann                                        ,Amy Winehouse,11.88
Wyatt                                              Girard                                            ,Godsmack,11.88
Victor                                             Stevens                                           ,The Rolling Stones,11.88
Jennifer                                           Peterson                                          ,Nirvana,11.88
Tim                                                Goyer                                             ,The Rolling Stones,11.88
Camille                                            Bernard                                           ,Scorpions,11.88
Ladislav                                           Kovács                                            ,Godsmack,11.88
Phil                                               Hughes                                            ,Queen,11.88
Frank                                              Harris                                            ,R.E.M.,11.88
Jack                                               Smith                                             ,Foo Fighters,11.88
Steve                                              Murray                                            ,Stone Temple Pilots,11.88
Marc                                               Dubois                                            ,Queen,11.88
Daan                                               Peeters                                           ,Godsmack,11.88
Luis                                               Rojas                                             ,Pearl Jam,11.88
Victor                                             Stevens                                           ,Alice In Chains,11.88
Dan                                                Miller                                            ,Foo Fighters,11.88
Fernanda                                           Ramos                                             ,Jamiroquai,10.89
Phil                                               Hughes                                            ,AC/DC,10.89
Ellie                                              Sullivan                                          ,Queen,10.89
Roberto                                            Almeida                                           ,Metallica,10.89
Bjørn                                              Hansen                                            ,The Doors,10.89
Roberto                                            Almeida                                           ,R.E.M.,10.89
Kathy                                              Chase                                             ,AC/DC,10.89
Lucas                                              Mancini                                           ,Queen,10.89
R                                                  Madhav                                            ,Foo Fighters,10.89
Patrick                                            Gray                                              ,System Of A Down,10.89
Patrick                                            Gray                                              ,The Doors,10.89
Mark                                               Taylor                                            ,System Of A Down,10.89
Kathy                                              Chase                                             ,Skank,10.89
Victor                                             Stevens                                           ,R.E.M.,10.89
Bjørn                                              Hansen                                            ,Metallica,10.89
Stanisław                                          Wójcik                                            ,Buddy Guy,10.89
Isabelle                                           Mercier                                           ,Deep Purple,9.9
Joakim                                             Johansson                                         ,Iron Maiden,9.9
Stanisław                                          Wójcik                                            ,AC/DC,9.9
Madalena                                           Sampaio                                           ,Iron Maiden,9.9
Fynn                                               Zimmermann                                        ,Iron Maiden,9.9
Puja                                               Srivastava                                        ,Marillion,9.9
Fynn                                               Zimmermann                                        ,Jamiroquai,9.9
Emma                                               Jones                                             ,Pink Floyd,8.91
Frank                                              Ralston                                           ,AC/DC,7.92
Kathy                                              Chase                                             ,Black Sabbath,7.92
Luís                                               Gonçalves                                         ,AC/DC,7.92
François                                           Tremblay                                          ,Apocalyptica,7.92
Alexandre                                          Rocha                                             ,Metallica,7.92
Frank                                              Ralston                                           ,Black Sabbath,6.93
Madalena                                           Sampaio                                           ,Jimi Hendrix,4.95
Dan                                                Miller                                            ,Van Halen,4.95
Jack                                               Smith                                             ,Amy Winehouse,4.95
R                                                  Madhav                                            ,Nirvana,4.95
John                                               Gordon                                            ,Green Day,4.95
Daan                                               Peeters                                           ,Foo Fighters,4.95
Jack                                               Smith                                             ,U2,4.95
Edward                                             Francis                                           ,Eric Clapton,4.95
Dan                                                Miller                                            ,Red Hot Chili Peppers,3.96
Michelle                                           Brooks                                            ,Pearl Jam,3.96
Jack                                               Smith                                             ,Nirvana,3.96
Isabelle                                           Mercier                                           ,Green Day,3.96
Enrique                                            Muñoz                                             ,Foo Fighters,3.96
Luis                                               Rojas                                             ,Guns N' Roses,3.96
Bjørn                                              Hansen                                            ,System Of A Down,3.96
Victor                                             Stevens                                           ,The Clash,3.96
Hannah                                             Schneider                                         ,U2,3.96
Dan                                                Miller                                            ,The Who,3.96
Dan                                                Miller                                            ,Queen,3.96
Martha                                             Silk                                              ,Red Hot Chili Peppers,3.96
Enrique                                            Muñoz                                             ,Frank Sinatra,3.96
Jack                                               Smith                                             ,Def Leppard,3.96
Julia                                              Barnett                                           ,R.E.M.,3.96
Terhi                                              Hämäläinen                                        ,The Clash,3.96
Isabelle                                           Mercier                                           ,Led Zeppelin,3.96
Niklas                                             Schröder                                          ,Amy Winehouse,3.96
John                                               Gordon                                            ,The Who,3.96
Isabelle                                           Mercier                                           ,Metallica,3.96
François                                           Tremblay                                          ,Black Sabbath,3.96
Bjørn                                              Hansen                                            ,Van Halen,3.96
Manoj                                              Pareek                                            ,The Rolling Stones,3.96
Terhi                                              Hämäläinen                                        ,Jimi Hendrix,3.96
Marc                                               Dubois                                            ,Amy Winehouse,3.96
Hannah                                             Schneider                                         ,Metallica,3.96
Martha                                             Silk                                              ,AC/DC,3.96
Luis                                               Rojas                                             ,Green Day,3.96
Julia                                              Barnett                                           ,The Doors,3.96
R                                                  Madhav                                            ,Queen,3.96
Wyatt                                              Girard                                            ,Amy Winehouse,3.96
Jack                                               Smith                                             ,Metallica,3.96
Manoj                                              Pareek                                            ,Foo Fighters,3.96
Kara                                               Nielsen                                           ,Jamiroquai,3.96
Heather                                            Leacock                                           ,Guns N' Roses,3.96
Manoj                                              Pareek                                            ,Iron Maiden,3.96
Ellie                                              Sullivan                                          ,The Rolling Stones,3.96
Astrid                                             Gruber                                            ,Ozzy Osbourne,2.97
Steve                                              Murray                                            ,The Rolling Stones,2.97
Jack                                               Smith                                             ,Red Hot Chili Peppers,2.97
Kathy                                              Chase                                             ,Pink Floyd,2.97
Ladislav                                           Kovács                                            ,Red Hot Chili Peppers,2.97
Dan                                                Miller                                            ,Soundgarden,2.97
Leonie                                             Köhler                                            ,System Of A Down,2.97
Isabelle                                           Mercier                                           ,R.E.M.,2.97
Hannah                                             Schneider                                         ,Red Hot Chili Peppers,2.97
Fernanda                                           Ramos                                             ,Foo Fighters,2.97
Ladislav                                           Kovács                                            ,Foo Fighters,2.97
Hannah                                             Schneider                                         ,Black Sabbath,2.97
Patrick                                            Gray                                              ,Guns N' Roses,2.97
Hugh                                               O'Reilly                                          ,Ozzy Osbourne,2.97
John                                               Gordon                                            ,Queen,2.97
Heather                                            Leacock                                           ,The Doors,2.97
Luís                                               Gonçalves                                         ,Miles Davis,2.97
Niklas                                             Schröder                                          ,AC/DC,2.97
Steve                                              Murray                                            ,Pearl Jam,2.97
Marc                                               Dubois                                            ,Guns N' Roses,2.97
Hugh                                               O'Reilly                                          ,Red Hot Chili Peppers,2.97
Madalena                                           Sampaio                                           ,AC/DC,2.97
Manoj                                              Pareek                                            ,Alice In Chains,2.97
Camille                                            Bernard                                           ,Rush,2.97
John                                               Gordon                                            ,R.E.M.,2.97
Joakim                                             Johansson                                         ,Alanis Morissette,2.97
João                                               Fernandes                                         ,Green Day,2.97
Kara                                               Nielsen                                           ,Gilberto Gil,2.97
Hannah                                             Schneider                                         ,Green Day,2.97
Leonie                                             Köhler                                            ,Eric Clapton,2.97
Hannah                                             Schneider                                         ,Marvin Gaye,2.97
Isabelle                                           Mercier                                           ,Aerosmith,2.97
Martha                                             Silk                                              ,Nirvana,2.97
Richard                                            Cunningham                                        ,U2,2.97
Edward                                             Francis                                           ,Led Zeppelin,2.97
Manoj                                              Pareek                                            ,Scorpions,2.97
Johannes                                           Van der Berg                                      ,Foo Fighters,2.97
Helena                                             Holý                                              ,Deep Purple,2.97
Edward                                             Francis                                           ,The Rolling Stones,2.97
Phil                                               Hughes                                            ,Foo Fighters,2.97
Hugh                                               O'Reilly                                          ,Rush,2.97
Eduardo                                            Martins                                           ,Jamiroquai,2.97
Luis                                               Rojas                                             ,Aerosmith,2.97
Jack                                               Smith                                             ,Green Day,2.97
Edward                                             Francis                                           ,Iron Maiden,2.97
Manoj                                              Pareek                                            ,Rush,2.97
Dan                                                Miller                                            ,Alice In Chains,2.97
Kathy                                              Chase                                             ,Metallica,2.97
Bjørn                                              Hansen                                            ,Green Day,2.97
Tim                                                Goyer                                             ,Creedence Clearwater Revival,2.97
Luís                                               Gonçalves                                         ,Aerosmith,2.97
R                                                  Madhav                                            ,System Of A Down,2.97
Eduardo                                            Martins                                           ,Foo Fighters,2.97
François                                           Tremblay                                          ,Eric Clapton,2.97
Joakim                                             Johansson                                         ,Jimi Hendrix,2.97
Enrique                                            Muñoz                                             ,The Police,2.97
Fernanda                                           Ramos                                             ,U2,2.97
Astrid                                             Gruber                                            ,Black Label Society,2.97
Julia                                              Barnett                                           ,Black Sabbath,2.97
Helena                                             Holý                                              ,The Doors,2.97
Diego                                              Gutiérrez                                         ,Nirvana,2.97
Helena                                             Holý                                              ,U2,2.97
Helena                                             Holý                                              ,AC/DC,2.97
Julia                                              Barnett                                           ,JET,2.97
Terhi                                              Hämäläinen                                        ,The Who,2.97
Marc                                               Dubois                                            ,Frank Sinatra,2.97
Jack                                               Smith                                             ,The Rolling Stones,2.97
Terhi                                              Hämäläinen                                        ,Pearl Jam,2.97
Steve                                              Murray                                            ,Green Day,2.97
Kathy                                              Chase                                             ,Nirvana,2.97
R                                                  Madhav                                            ,The Clash,2.97
Helena                                             Holý                                              ,Iron Maiden,2.97
Fernanda                                           Ramos                                             ,The Who,2.97
Martha                                             Silk                                              ,Frank Sinatra,2.97
Terhi                                              Hämäläinen                                        ,AC/DC,2.97
Martha                                             Silk                                              ,The Rolling Stones,2.97
Isabelle                                           Mercier                                           ,Foo Fighters,2.97
Fernanda                                           Ramos                                             ,Pearl Jam,2.97
Frank                                              Harris                                            ,AC/DC,2.97
Steve                                              Murray                                            ,Queen,2.97
Ellie                                              Sullivan                                          ,System Of A Down,2.97
Eduardo                                            Martins                                           ,System Of A Down,2.97
Leonie                                             Köhler                                            ,The Clash,2.97
Dan                                                Miller                                            ,The Rolling Stones,2.97
Leonie                                             Köhler                                            ,Kiss,2.97
Phil                                               Hughes                                            ,Pink Floyd,2.97
Victor                                             Stevens                                           ,Eric Clapton,2.97
Jack                                               Smith                                             ,Miles Davis,2.97
Roberto                                            Almeida                                           ,The Who,2.97
Joakim                                             Johansson                                         ,The Rolling Stones,2.97
Jack                                               Smith                                             ,Creedence Clearwater Revival,2.97
Martha                                             Silk                                              ,Queen,2.97
Madalena                                           Sampaio                                           ,System Of A Down,2.97
Leonie                                             Köhler                                            ,The Rolling Stones,2.97
Frank                                              Ralston                                           ,U2,2.97
Wyatt                                              Girard                                            ,Led Zeppelin,2.97
Bjørn                                              Hansen                                            ,Def Leppard,2.97
Hannah                                             Schneider                                         ,System Of A Down,2.97
Stanisław                                          Wójcik                                            ,U2,2.97
Eduardo                                            Martins                                           ,Guns N' Roses,2.97
John                                               Gordon                                            ,Frank Sinatra,2.97
Ellie                                              Sullivan                                          ,Led Zeppelin,2.97
Fynn                                               Zimmermann                                        ,System Of A Down,2.97
Frank                                              Harris                                            ,Jamiroquai,2.97
Leonie                                             Köhler                                            ,Pearl Jam,2.97
Mark                                               Philips                                           ,Pink Floyd,2.97
Edward                                             Francis                                           ,Jamiroquai,2.97
Wyatt                                              Girard                                            ,AC/DC,2.97
Fernanda                                           Ramos                                             ,Alanis Morissette,2.97
Madalena                                           Sampaio                                           ,Pink Floyd,2.97
Steve                                              Murray                                            ,Jimi Hendrix,2.97
Luís                                               Gonçalves                                         ,Guns N' Roses,2.97
Hannah                                             Schneider                                         ,Jimi Hendrix,2.97
John                                               Gordon                                            ,Scorpions,2.97
Wyatt                                              Girard                                            ,Eric Clapton,2.97
Edward                                             Francis                                           ,Pink Floyd,2.97
Jack                                               Smith                                             ,Led Zeppelin,2.97
Michelle                                           Brooks                                            ,Amy Winehouse,2.97
Luis                                               Rojas                                             ,Nirvana,2.97
Ellie                                              Sullivan                                          ,Guns N' Roses,2.97
Astrid                                             Gruber                                            ,Jimi Hendrix,2.97
Julia                                              Barnett                                           ,Amy Winehouse,2.97
Wyatt                                              Girard                                            ,Deep Purple,2.97
Eduardo                                            Martins                                           ,The Police,2.97
Kathy                                              Chase                                             ,Pearl Jam,2.97
Daan                                               Peeters                                           ,R.E.M.,2.97
Helena                                             Holý                                              ,System Of A Down,2.97
Robert                                             Brown                                             ,Led Zeppelin,2.97
Dan                                                Miller                                            ,Nirvana,2.97
Michelle                                           Brooks                                            ,Judas Priest,2.97
Julia                                              Barnett                                           ,Red Hot Chili Peppers,2.97
Kathy                                              Chase                                             ,Led Zeppelin,2.97
Wyatt                                              Girard                                            ,Alice In Chains,2.97
Camille                                            Bernard                                           ,R.E.M.,2.97
Richard                                            Cunningham                                        ,Jamiroquai,2.97
Stanisław                                          Wójcik                                            ,Red Hot Chili Peppers,2.97
Isabelle                                           Mercier                                           ,The Rolling Stones,2.97
Hannah                                             Schneider                                         ,Led Zeppelin,2.97
Leonie                                             Köhler                                            ,Chris Cornell,2.97
Eduardo                                            Martins                                           ,Iron Maiden,2.97
Leonie                                             Köhler                                            ,The Doors,2.97
Bjørn                                              Hansen                                            ,JET,2.97
Wyatt                                              Girard                                            ,Green Day,2.97
Dominique                                          Lefebvre                                          ,The Who,2.97
Tim                                                Goyer                                             ,Nirvana,2.97
Mark                                               Philips                                           ,Lenny Kravitz,2.97
Dominique                                          Lefebvre                                          ,Black Sabbath,2.97
Dan                                                Miller                                            ,U2,2.97
Johannes                                           Van der Berg                                      ,U2,1.98
Madalena                                           Sampaio                                           ,The Police,1.98
Roberto                                            Almeida                                           ,U2,1.98
Jack                                               Smith                                             ,Deep Purple,1.98
Richard                                            Cunningham                                        ,System Of A Down,1.98
Kathy                                              Chase                                             ,Foo Fighters,1.98
Martha                                             Silk                                              ,The Police,1.98
Frank                                              Harris                                            ,Queen,1.98
Terhi                                              Hämäläinen                                        ,Motörhead,1.98
Daan                                               Peeters                                           ,JET,1.98
Hannah                                             Schneider                                         ,Iron Maiden,1.98
Hugh                                               O'Reilly                                          ,Eric Clapton,1.98
Edward                                             Francis                                           ,Faith No More,1.98
Luis                                               Rojas                                             ,Godsmack,1.98
Martha                                             Silk                                              ,The Who,1.98
Madalena                                           Sampaio                                           ,Foo Fighters,1.98
Hannah                                             Schneider                                         ,The Police,1.98
Roberto                                            Almeida                                           ,Amy Winehouse,1.98
Steve                                              Murray                                            ,Lenny Kravitz,1.98
Hannah                                             Schneider                                         ,The Clash,1.98
Helena                                             Holý                                              ,Led Zeppelin,1.98
Dan                                                Miller                                            ,AC/DC,1.98
Phil                                               Hughes                                            ,U2,1.98
Michelle                                           Brooks                                            ,Soundgarden,1.98
John                                               Gordon                                            ,Godsmack,1.98
Helena                                             Holý                                              ,R.E.M.,1.98
Terhi                                              Hämäläinen                                        ,Miles Davis,1.98
Joakim                                             Johansson                                         ,The Police,1.98
Niklas                                             Schröder                                          ,Pink Floyd,1.98
Wyatt                                              Girard                                            ,Audioslave,1.98
Marc                                               Dubois                                            ,Green Day,1.98
Isabelle                                           Mercier                                           ,Scorpions,1.98
Jennifer                                           Peterson                                          ,Metallica,1.98
Michelle                                           Brooks                                            ,System Of A Down,1.98
Johannes                                           Van der Berg                                      ,Buddy Guy,1.98
Julia                                              Barnett                                           ,Foo Fighters,1.98
Jennifer                                           Peterson                                          ,Scorpions,1.98
Luis                                               Rojas                                             ,Led Zeppelin,1.98
R                                                  Madhav                                            ,Frank Sinatra,1.98
Madalena                                           Sampaio                                           ,Scorpions,1.98
Tim                                                Goyer                                             ,Black Sabbath,1.98
Heather                                            Leacock                                           ,The Who,1.98
Enrique                                            Muñoz                                             ,Incognito,1.98
Manoj                                              Pareek                                            ,Velvet Revolver,1.98
João                                               Fernandes                                         ,AC/DC,1.98
Michelle                                           Brooks                                            ,Frank Sinatra,1.98
Luis                                               Rojas                                             ,The Doors,1.98
Stanisław                                          Wójcik                                            ,Nirvana,1.98
Dan                                                Miller                                            ,Apocalyptica,1.98
Camille                                            Bernard                                           ,Pearl Jam,1.98
Roberto                                            Almeida                                           ,JET,1.98
Aaron                                              Mitchell                                          ,Nirvana,1.98
Kathy                                              Chase                                             ,R.E.M.,1.98
Ladislav                                           Kovács                                            ,Stone Temple Pilots,1.98
R                                                  Madhav                                            ,Chris Cornell,1.98
